true_label,predicted_prob,predicted_label
1,0.48934656,0
0,0.061235934,0
1,0.46255216,0
1,0.59603935,1
1,0.3757096,0
1,0.6743982,1
1,0.6321929,1
1,0.49600017,0
1,0.40071675,0
0,0.64197034,1
1,0.6765028,1
1,0.34321806,0
1,0.7063731,1
1,0.65365255,1
1,0.60922873,1
1,0.56551373,1
1,0.3753972,0
1,0.5706241,1
0,0.20863359,0
0,0.21882972,0
0,0.6413166,1
0,0.69751817,1
1,0.5643483,1
0,0.12580103,0
0,0.055941857,0
1,0.61413604,1
1,0.7123575,1
1,0.58951104,1
1,0.7522174,1
1,0.5223068,1
0,0.11094664,0
1,0.67871004,1
1,0.7647474,1
0,0.6856961,1
0,0.55610657,1
0,0.5469288,1
0,0.30632573,0
1,0.79858273,1
1,0.46578702,0
0,0.33211026,0
0,0.30498117,0
0,0.61264145,1
0,0.49622676,0
0,0.08689352,0
1,0.35198542,0
1,0.5857105,1
1,0.62306255,1
1,0.77373576,1
1,0.6594349,1
0,0.57745606,1
0,0.128437,0
0,0.15439858,0
1,0.4437705,0
1,0.40511024,0
1,0.6716549,1
1,0.6434223,1
1,0.665041,1
1,0.8240336,1
0,0.36781958,0
0,0.34341174,0
1,0.6477849,1
0,0.53637296,1
1,0.49299324,0
0,0.31829074,0
1,0.79710764,1
1,0.5866024,1
0,0.2651154,0
1,0.594094,1
1,0.6331434,1
1,0.43763012,0
0,0.4958574,0
1,0.6672229,1
1,0.3495875,0
1,0.6438624,1
1,0.7169925,1
1,0.37752953,0
0,0.64486027,1
0,0.62002116,1
1,0.6267584,1
1,0.6860141,1
0,0.7201064,1
0,0.6784614,1
0,0.5763742,1
1,0.45340022,0
0,0.32435733,0
0,0.5892563,1
0,0.7032893,1
1,0.68514484,1
1,0.3822708,0
1,0.6728188,1
0,0.3644794,0
0,0.13460298,0
0,0.3752118,0
1,0.7030549,1
0,0.39592782,0
0,0.695219,1
0,0.21657678,0
1,0.626237,1
0,0.19531764,0
0,0.5674102,1
0,0.62303185,1
1,0.8016764,1
0,0.108031645,0
0,0.6472001,1
1,0.8462829,1
1,0.5817778,1
1,0.3413202,0
1,0.7618161,1
1,0.24196994,0
1,0.6190707,1
1,0.69265807,1
0,0.3486601,0
1,0.4204618,0
1,0.14916436,0
0,0.6427631,1
0,0.45882702,0
0,0.5981925,1
0,0.67024034,1
0,0.36062402,0
1,0.5305146,1
1,0.5870663,1
1,0.66261834,1
0,0.10726811,0
0,0.53132105,1
0,0.12183739,0
1,0.31123143,0
1,0.7951272,1
0,0.49713594,0
0,0.43975833,0
1,0.33004022,0
0,0.19031197,0
0,0.6607945,1
0,0.06992513,0
1,0.38009843,0
0,0.29801303,0
0,0.41343105,0
1,0.7245293,1
1,0.51737803,1
1,0.67217195,1
0,0.104202285,0
0,0.40109268,0
0,0.6554613,1
1,0.799613,1
0,0.5716346,1
0,0.20730545,0
1,0.5490051,1
0,0.70648557,1
1,0.29349577,0
0,0.5198828,1
0,0.19675055,0
1,0.39974937,0
1,0.3962888,0
1,0.8207048,1
1,0.4089913,0
0,0.23891196,0
1,0.7770739,1
0,0.53622645,1
0,0.62998396,1
1,0.6911112,1
1,0.5522638,1
1,0.66469723,1
1,0.63166183,1
1,0.50428486,1
1,0.5664505,1
1,0.31560457,0
1,0.62010187,1
1,0.50725687,1
1,0.7023365,1
0,0.05673075,0
1,0.43966419,0
1,0.74970704,1
0,0.12570055,0
1,0.5409588,1
0,0.7591245,1
0,0.18379068,0
1,0.2512698,0
0,0.44155094,0
0,0.44323102,0
0,0.7481693,1
0,0.45816034,0
0,0.6240441,1
1,0.67818505,1
