true_label,predicted_prob,predicted_label
0,0.7065603,1
1,0.5367742,1
0,0.7481506,1
1,0.70533115,1
1,0.5360606,1
0,0.23111925,0
1,0.5988488,1
1,0.75021064,1
1,0.85088295,1
1,0.5327594,1
0,0.5427739,1
0,0.5318598,1
1,0.481172,0
1,0.35941413,0
0,0.44193152,0
0,0.35171342,0
0,0.38658357,0
1,0.76987904,1
0,0.51128834,1
1,0.8856048,1
1,0.68739814,1
1,0.8256867,1
0,0.7902656,1
0,0.4139572,0
1,0.7622026,1
1,0.3948176,0
1,0.78652894,1
0,0.45338133,0
1,0.77019846,1
1,0.63307786,1
1,0.5046618,1
1,0.76260406,1
1,0.72217804,1
0,0.5157915,1
1,0.7539788,1
1,0.5618025,1
1,0.6682418,1
1,0.48983118,0
0,0.7695713,1
0,0.7739834,1
0,0.79945976,1
1,0.46737698,0
0,0.20233971,0
0,0.1627316,0
0,0.40579668,0
0,0.79120433,1
0,0.36641294,0
1,0.7606428,1
1,0.67166543,1
0,0.5962217,1
0,0.17006236,0
1,0.67414176,1
1,0.6908059,1
0,0.40096307,0
1,0.84483504,1
0,0.69947314,1
1,0.8821993,1
0,0.37226093,0
1,0.6639245,1
0,0.60802734,1
0,0.7747296,1
0,0.24816646,0
1,0.5174173,1
0,0.15209866,0
0,0.31663257,0
1,0.43818206,0
1,0.30077657,0
0,0.08273155,0
0,0.52142805,1
0,0.4564423,0
0,0.7646312,1
1,0.33476952,0
0,0.82130176,1
1,0.5918101,1
0,0.15662299,0
1,0.68161833,1
1,0.5372838,1
1,0.3932088,0
1,0.78500783,1
1,0.5992383,1
1,0.45859316,0
1,0.5737722,1
0,0.6748841,1
1,0.5583362,1
1,0.5287329,1
1,0.6604016,1
1,0.7418959,1
1,0.48592755,0
1,0.40933713,0
1,0.44289637,0
1,0.6269904,1
0,0.11874965,0
0,0.36181667,0
0,0.7563972,1
0,0.73336613,1
1,0.565294,1
0,0.12567085,0
0,0.08683259,0
1,0.67953575,1
1,0.78851527,1
1,0.518113,1
1,0.80352485,1
1,0.56953895,1
0,0.16908437,0
1,0.66440594,1
1,0.64749837,1
0,0.5912602,1
0,0.4740079,0
0,0.654588,1
0,0.7067045,1
1,0.7710166,1
1,0.748634,1
0,0.3246185,0
0,0.34159175,0
0,0.63804436,1
0,0.40915233,0
0,0.07809258,0
1,0.42132366,0
1,0.6618454,1
1,0.75705016,1
1,0.6396094,1
1,0.7632131,1
0,0.36868072,0
0,0.19416603,0
0,0.07881775,0
1,0.5520725,1
1,0.36834195,0
1,0.8097615,1
1,0.45618248,0
1,0.6191003,1
1,0.6149697,1
0,0.6387216,1
0,0.6006495,1
1,0.5926111,1
0,0.32248345,0
1,0.52801305,1
0,0.33516592,0
1,0.8682988,1
1,0.47064298,0
0,0.29384875,0
1,0.7978063,1
1,0.7078046,1
1,0.6720294,1
0,0.40938058,0
1,0.6888788,1
1,0.5305492,1
1,0.4623276,0
1,0.75316465,1
1,0.7352345,1
0,0.7318246,1
0,0.70843834,1
1,0.75320554,1
1,0.7791297,1
0,0.7134786,1
0,0.7403453,1
0,0.4555187,0
1,0.4744062,0
0,0.45608553,0
0,0.34203264,0
0,0.63532996,1
1,0.7419235,1
1,0.61465365,1
1,0.48727214,0
0,0.5223281,1
0,0.12150255,0
0,0.43372968,0
1,0.79979277,1
0,0.6391731,1
0,0.8346405,1
0,0.4141162,0
1,0.5926442,1
0,0.40437758,0
0,0.51693034,1
0,0.4053326,0
1,0.79783654,1
0,0.16654655,0
0,0.6851756,1
1,0.88148594,1
1,0.40820006,0
1,0.31685612,0
1,0.8646699,1
1,0.3746262,0
1,0.56988204,1
1,0.37406993,0
0,0.51314837,1
1,0.5885409,1
1,0.14877498,0
0,0.65128326,1
0,0.3970874,0
0,0.6561126,1
0,0.6746957,1
0,0.6167265,1
1,0.59133047,1
1,0.58111894,1
1,0.67377806,1
0,0.15194635,0
0,0.64646435,1
0,0.21598676,0
1,0.34526262,0
1,0.74178773,1
0,0.53530514,1
0,0.37522876,0
1,0.58645904,1
0,0.4447913,0
0,0.6707943,1
0,0.12770659,0
1,0.56414026,1
0,0.39570203,0
0,0.47363937,0
1,0.63959473,1
1,0.35802174,0
1,0.75080425,1
0,0.17390215,0
0,0.37315765,0
0,0.47333598,0
1,0.7623534,1
0,0.25932598,0
0,0.36052746,0
1,0.73658156,1
0,0.734309,1
1,0.47879788,0
0,0.6293948,1
0,0.33876252,0
1,0.43673375,0
1,0.36108387,0
1,0.8615858,1
1,0.33968365,0
0,0.39628637,0
1,0.87230605,1
0,0.49668363,0
0,0.5503355,1
1,0.6786324,1
1,0.58288646,1
1,0.6566362,1
1,0.71152,1
1,0.7331984,1
1,0.5557849,1
1,0.6035462,1
1,0.7261074,1
1,0.6476566,1
1,0.73949355,1
0,0.068059914,0
1,0.56229776,1
1,0.78125465,1
0,0.17805639,0
1,0.39983016,0
0,0.28905636,0
0,0.2113268,0
1,0.36951277,0
0,0.70381725,1
0,0.46449414,0
0,0.73360825,1
0,0.5115268,1
0,0.50818616,1
1,0.6766875,1
