true_label,predicted_prob,predicted_label
0,0.63180524,1
0,0.5889473,1
1,0.5219851,1
1,0.47427404,0
0,0.5119506,1
0,0.39417374,0
0,0.42679274,0
1,0.5283017,1
1,0.4746366,0
0,0.4209816,0
0,0.55934197,1
0,0.3567904,0
0,0.51326036,1
0,0.49148086,0
1,0.55924696,1
0,0.4885684,0
1,0.6181673,1
1,0.46665007,0
0,0.40875983,0
0,0.4220606,0
1,0.4011559,0
1,0.54944235,1
0,0.4548666,0
0,0.5488891,1
1,0.51634693,1
1,0.52390534,1
1,0.54401696,1
1,0.52998036,1
0,0.5342289,1
0,0.46219417,0
1,0.5644035,1
0,0.5602026,1
0,0.529179,1
0,0.5164641,1
0,0.43891314,0
1,0.5516478,1
1,0.5507942,1
1,0.5301558,1
0,0.504438,1
1,0.55543846,1
0,0.15026008,0
0,0.15262799,0
0,0.25548533,0
1,0.55976844,1
1,0.44099548,0
0,0.56987387,1
1,0.50605124,1
1,0.4894241,0
0,0.49554238,0
0,0.5018357,1
1,0.51839215,1
0,0.24181916,0
0,0.17688711,0
0,0.60184026,1
0,0.4595882,0
1,0.49753457,0
0,0.14825022,0
0,0.20646942,0
0,0.4629067,0
1,0.44943765,0
1,0.49538523,0
1,0.32833707,0
0,0.4700837,0
1,0.47762087,0
0,0.37247044,0
0,0.4921158,0
1,0.52907264,1
0,0.5030517,1
0,0.5234622,1
1,0.49831957,0
0,0.3797616,0
0,0.48202696,0
0,0.42087078,0
1,0.46542484,0
0,0.37424216,0
0,0.15533417,0
1,0.46331024,0
1,0.46783286,0
0,0.4339555,0
0,0.6152807,1
1,0.69348687,1
1,0.46018946,0
1,0.47752103,0
0,0.4685715,0
1,0.52019465,1
0,0.547288,1
1,0.46496692,0
1,0.52448523,1
0,0.5712745,1
0,0.47817168,0
0,0.48963723,0
1,0.5305403,1
1,0.46329835,0
0,0.54648596,1
0,0.35868123,0
1,0.5281764,1
0,0.5517147,1
1,0.4262669,0
0,0.47305933,0
1,0.36499777,0
1,0.6130439,1
1,0.49370426,0
1,0.50199693,1
0,0.3010219,0
0,0.49809706,0
0,0.5579794,1
0,0.37670228,0
1,0.5742169,1
0,0.46971434,0
0,0.36220023,0
1,0.54972184,1
1,0.55721426,1
1,0.48719108,0
0,0.41664487,0
0,0.4655759,0
0,0.33201858,0
1,0.5525582,1
1,0.50299805,1
0,0.4930081,0
0,0.4462072,0
1,0.5655043,1
0,0.5850014,1
1,0.4709374,0
0,0.15907918,0
0,0.3958914,0
1,0.44482842,0
0,0.15131676,0
1,0.5222882,1
1,0.6401731,1
0,0.6003844,1
1,0.42008725,0
0,0.4821979,0
0,0.4539402,0
0,0.5332228,1
0,0.5252974,1
1,0.37900752,0
0,0.5811444,1
0,0.33981177,0
1,0.5296804,1
0,0.50388515,1
1,0.53262895,1
1,0.66472507,1
0,0.38875437,0
0,0.3824586,0
1,0.6420411,1
1,0.51787984,1
1,0.49236906,0
1,0.45944786,0
0,0.5943284,1
1,0.6438498,1
1,0.52312404,1
0,0.5359768,1
0,0.37539437,0
0,0.41102245,0
0,0.5452026,1
0,0.4144547,0
0,0.50753987,1
1,0.44096187,0
1,0.5055015,1
0,0.15834089,0
0,0.5756634,1
1,0.5939022,1
0,0.50722826,1
1,0.55272675,1
1,0.43997878,0
0,0.45488447,0
1,0.48306376,0
1,0.56836575,1
1,0.6734725,1
1,0.4699417,0
0,0.5048142,1
0,0.5062437,1
1,0.57643694,1
1,0.49692976,0
0,0.37134314,0
0,0.4889126,0
0,0.39079374,0
1,0.63710696,1
0,0.5381933,1
1,0.6490837,1
1,0.5657126,1
1,0.67527336,1
0,0.57210946,1
0,0.51644933,1
1,0.5521862,1
1,0.4356099,0
1,0.59446687,1
0,0.43104854,0
1,0.51576716,1
1,0.5475549,1
1,0.5205596,1
1,0.40812027,0
1,0.55058575,1
0,0.40010154,0
1,0.51303726,1
1,0.55794996,1
1,0.5267064,1
1,0.5193396,1
0,0.58575195,1
0,0.5438588,1
0,0.5923038,1
1,0.3973827,0
0,0.17704754,0
0,0.19718185,0
0,0.42369056,0
0,0.5750707,1
0,0.38763356,0
1,0.5434994,1
1,0.56220657,1
0,0.48503283,0
0,0.17204262,0
1,0.56331444,1
1,0.5207931,1
0,0.5327759,1
1,0.60819674,1
0,0.47838596,0
1,0.64503443,1
0,0.5008045,1
1,0.5079951,1
0,0.40682805,0
0,0.5736863,1
0,0.37375048,0
1,0.4122506,0
0,0.24792773,0
0,0.30564645,0
1,0.43099874,0
1,0.5126089,1
0,0.12281459,0
0,0.44015613,0
0,0.33550888,0
0,0.5662396,1
1,0.5410624,1
0,0.576206,1
1,0.43693638,0
0,0.1251932,0
